FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MNA63ZM/A,iPad Accessories,464.0,37.0,17.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMF93ZM/A,App-Enabled Accessories,719.0,97.0,42.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMMQ3Z/A,Mac Accessories & Display,425.0,95.0,43.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMMR3B/A,Mac Accessories & Display,144.0,26.0,9.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMTN2ZM/A,Other Headsets,1133.0,301.0,150.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMX62ZM/A,Connectivity Accessories,286.0,60.0,24.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMXH3B/A,iPhone SE (3rd Gen),1604.0,181.0,82.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMXK3B/A,iPhone SE (3rd Gen),1314.0,177.0,71.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMXP3B/A,iPhone SE (3rd Gen),99.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMYQ3B/A,Mac Accessories & Display,214.0,10.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMYV3B/A,Mac Accessories & Display,208.0,22.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMYW3B/A,Mac Accessories & Display,216.0,17.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMYX3B/A,Mac Accessories & Display,148.0,2.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MN5W3ZM/A,iPhone Accessories,200.0,8.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MN6H3ZM/A,iPhone Accessories,410.0,130.0,56.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MMMP3Z/A,Mac Accessories & Display,40.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM2X3ZM/A,iPhone Accessories,193.0,33.0,12.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPNY3ZM/A,AirPods Non Pro,3276.0,621.0,228.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPPA3ZM/A,iPhone Accessories,37.0,3.0,2.0,2023-04-01,2023-04-08
