Week_Start_Date,Product,Sessions,PDP Add to Cart Units,Units Sold,FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Quarter_Start_Date,Data_Type,Product Code
2023-09-18,AirPods Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,AirPods Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,App-Enabled Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
